17,82,55,24,96,72,54,22,93,45,26,4,33,35,39,98
7,41,79,100,99,57,64,89,13,26,20,46,18,53,43,1
0,99,26,97,36,80,85,28,91,78,100,23,12,38,20,19
79,66,85,43,22,48,98,1,40,18,47,58,71,57,60,38
55,86,34,91,31,85,85,22,62,84,45,75,21,32,60,66
64,11,75,86,59,73,53,100,57,66,23,94,22,83,31,77
34,31,33,66,16,18,54,78,1,99,18,90,97,45,21,60
56,97,11,81,35,64,46,92,30,70,85,18,18,83,96,19
13,95,85,96,12,38,74,81,2,58,36,66,69,57,92,24
53,3,72,54,33,17,11,29,53,97,48,72,45,9,91,58
3,41,54,16,45,94,63,47,17,99,79,87,55,71,77,75
74,48,28,73,66,40,2,18,2,16,56,13,25,12,71,28
53,91,10,98,50,73,11,68,71,90,54,93,26,97,67,100
45,61,39,10,67,41,95,35,57,17,48,48,29,86,76,49
42,87,46,93,59,23,26,97,80,46,89,5,42,21,72,87
48,10,63,82,17,24,83,74,41,31,21,36,83,63,85,91
