1,16,56,48,80,92,58,68,99,18,20,21,42,5,60,21
88,92,64,12,51,23,40,65,25,84,23,56,61,26,30,63
8,86,77,54,43,34,22,8,52,42,96,94,13,55,81,67
12,10,79,63,100,86,94,25,69,84,81,97,76,77,25,84
29,1,4,72,1,93,46,53,0,41,12,13,63,59,46,75
69,92,4,35,77,98,60,11,81,6,7,22,49,99,73,78
66,77,16,67,69,62,86,69,3,64,48,66,22,94,6,58
85,10,93,27,75,18,39,21,91,46,44,39,11,16,84,77
93,100,44,27,27,96,96,30,60,9,62,48,69,69,5,54
45,64,81,19,82,86,41,38,32,85,78,9,67,61,86,59
26,96,52,53,58,13,50,17,22,11,31,91,46,3,10,92
67,58,77,15,43,17,19,41,68,97,50,34,23,36,59,15
98,10,35,55,23,85,38,45,62,70,2,75,39,12,66,72
70,42,87,13,26,6,20,94,69,71,95,59,73,53,74,70
30,75,92,19,59,29,31,88,65,33,62,3,45,94,76,82
1,28,61,27,0,81,88,36,17,82,95,90,0,34,26,97
