53,83,47,74,91,50,78,14,94,88,31,54,37,19,16,78,11,50,40,72,35,44,55,26,73,99,1,51,3,79,55,56,27,1,29,17,17,73,98,11,60,28,65,63,47,48,41,24,98,81,96,32,91,51,25,63,49,26,80,19,71,34,75,64
1,71,47,19,9,44,97,70,72,27,99,86,75,39,9,72,86,5,71,76,56,62,4,71,54,84,56,91,84,98,54,52,34,0,71,43,44,33,79,82,60,78,67,1,16,43,39,2,48,76,44,70,37,15,6,91,65,63,81,49,26,0,0,60
67,37,2,10,70,82,59,96,59,25,63,41,68,2,9,82,78,54,17,82,35,91,38,100,19,86,48,45,86,14,4,53,51,6,29,87,54,88,49,12,80,11,20,13,80,29,96,58,49,79,39,84,69,43,50,88,28,98,32,14,12,2,33,29
76,28,16,29,16,31,8,96,42,28,75,22,23,36,46,39,15,51,22,84,94,72,38,22,36,36,2,14,39,35,43,81,63,25,9,45,56,84,6,65,78,82,53,1,17,99,40,99,49,28,49,8,67,87,30,2,89,99,83,27,100,92,74,29
17,84,74,39,33,47,70,11,95,22,12,11,20,18,10,35,12,25,44,79,11,40,47,100,39,29,94,4,21,67,33,4,16,74,43,50,20,80,61,14,1,39,92,22,23,68,23,35,93,33,81,70,74,27,70,79,23,29,49,44,62,83,48,45
56,57,61,42,36,21,56,4,26,47,93,15,82,15,16,74,49,97,44,89,91,80,33,13,75,82,57,36,64,71,47,86,94,7,27,97,95,49,0,87,97,93,1,78,7,18,17,22,81,61,77,71,6,9,84,81,92,6,84,21,43,30,74,37
4,67,33,99,16,33,86,79,25,53,22,99,37,39,21,18,67,98,55,73,74,39,54,31,11,3,18,55,100,92,92,3,25,91,2,41,23,54,19,14,6,41,79,44,46,66,28,12,30,83,86,3,88,5,34,100,75,18,20,74,10,78,78,1
68,46,42,57,100,61,71,72,68,49,15,13,15,43,93,45,93,44,14,80,15,48,45,90,32,65,63,8,8,6,9,76,52,51,32,17,78,69,90,45,18,4,25,100,14,17,10,73,61,24,52,76,38,64,31,70,95,94,79,3,67,88,79,18
39,78,2,83,46,92,95,30,96,19,29,76,2,39,48,29,63,67,71,0,97,1,71,91,61,15,60,94,2,5,12,7,83,81,57,28,72,51,59,33,36,54,9,38,94,23,33,22,56,70,23,52,71,60,43,98,75,69,92,43,74,70,17,56
50,74,51,88,24,76,20,26,29,96,64,89,19,63,11,41,32,34,94,69,60,2,32,0,71,90,9,45,25,26,67,41,66,17,28,56,93,49,82,89,44,11,77,29,74,88,71,5,88,30,40,47,32,73,47,69,62,23,80,54,49,47,95,15
30,23,37,90,72,19,78,82,30,54,78,71,8,48,42,96,44,83,43,42,21,56,10,49,79,91,2,95,3,98,76,33,20,12,22,58,98,100,5,95,20,83,65,28,97,73,23,40,55,32,82,42,55,59,92,100,15,60,94,18,57,35,17,43
14,40,67,11,5,39,5,92,21,36,19,85,9,9,24,30,7,73,73,28,31,30,28,12,56,88,30,80,23,47,89,3,53,56,14,25,61,87,16,82,22,2,66,31,11,57,28,85,96,67,13,93,97,41,4,18,95,0,98,84,13,87,87,67
8,1,92,69,54,74,16,76,76,49,74,87,5,1,38,67,34,51,59,30,58,63,14,52,63,12,2,76,99,89,8,6,56,66,41,9,40,57,52,15,5,25,69,10,93,6,77,26,23,1,22,81,64,36,99,93,48,0,35,12,56,9,85,78
76,25,88,82,83,5,63,88,30,98,65,89,70,7,14,93,9,2,39,39,4,38,32,19,4,33,31,26,42,83,4,17,7,58,65,56,63,28,10,59,25,75,47,96,48,27,88,57,29,94,63,100,31,95,18,1,27,16,95,35,99,99,53,5
22,17,28,85,11,38,43,37,12,56,32,26,83,86,84,78,79,46,77,76,6,62,44,100,78,38,34,76,2,53,47,24,37,75,8,48,79,17,85,57,39,83,84,21,35,33,65,80,45,7,56,51,35,66,16,12,3,50,54,72,70,1,96,6
42,70,20,88,53,5,44,92,54,27,79,55,60,43,35,4,16,57,21,52,22,37,64,92,54,85,63,90,86,24,96,94,60,82,81,12,87,92,3,7,18,82,62,45,91,63,15,73,19,3,24,7,6,55,99,26,39,27,15,91,17,77,50,77
59,98,89,11,89,58,85,73,39,47,84,96,76,66,69,96,69,59,2,75,13,68,1,18,95,83,75,12,26,92,89,85,89,44,62,43,1,47,15,7,60,66,2,35,31,37,30,100,97,100,40,76,67,7,95,61,91,35,39,83,26,95,67,14
38,28,23,39,75,39,46,34,71,15,36,1,52,66,67,48,65,6,91,31,81,51,59,37,86,64,19,12,58,86,93,62,80,83,1,21,21,13,21,58,95,57,59,47,23,25,61,54,98,51,52,78,1,10,14,54,74,33,32,99,85,24,60,65
6,27,52,94,7,73,17,1,30,76,48,19,67,76,39,31,26,91,8,95,67,90,48,7,89,80,5,74,70,31,4,43,59,56,2,66,95,20,67,91,62,82,9,29,57,15,26,49,5,34,9,73,90,57,46,79,2,51,18,39,48,22,82,6
44,84,38,4,70,72,96,32,53,71,27,76,86,19,91,92,53,0,30,9,23,42,88,93,59,72,31,6,94,12,13,3,62,17,7,99,89,2,97,7,40,90,49,25,8,40,83,27,6,79,36,96,20,90,88,79,61,85,86,20,63,65,23,25
82,98,90,71,66,86,44,5,75,94,31,49,100,80,76,5,59,12,67,45,1,21,24,29,5,76,49,69,40,39,60,88,2,15,58,68,0,69,74,41,62,71,90,61,50,65,32,75,43,99,20,11,86,10,40,92,86,55,26,25,94,52,12,96
67,37,64,33,5,3,74,33,40,29,94,56,94,25,31,3,90,17,14,76,27,54,33,12,75,25,3,69,77,15,30,9,18,60,42,90,63,15,22,69,44,82,25,3,73,22,73,29,39,87,71,32,6,3,44,82,95,13,16,71,95,46,80,13
