29,0,7,29,70,21,73,8,2,37,47,100,88,51,2,15,99,31,27,56,25,81,51,95,0,85,11,62,87,5,94,83,72,67,78,41,55,50,16,57,87,63,56,40,80,59,55,78,56,49,0,47,29,17,41,96,68,18,24,54,23,17,2,95,85,81,2,5,30,18,62,84,47,17,23,26,76,45,70,31,94,36,78,89,19,85,51,87,3,75,7,93,58,9,54,8,90,56,13,87,40,75,36,87,93,25,79,68,70,14,66,63,17,9,18,36,95,69,90,64,43,97,22,67,72,76,76,28,98,89,81,37,30,16,90,22,41,68,56,78,49,21,40,66,98,24,1,58,93,91,21,1,53,9,69,92,86,10,19,83,99,100,87,28,82,76,16,89,44,73,66,93,60,73,24,57,97,92,14,90,83,1,57,1,11,25,93,63,35,78,11,0,43,98,95,24,74,11,13,84,84,79,42,9,17,66,33,14,57,13,70,5,15,26,74,93,52,66,21,53,44,32,53,87,30,14,78,70,25,57,53,75,1,95,84,19,26,16,33,83,30,2,55,11,28,28,70,46,94,91,66,3,89,85,57,85
99,0,54,23,57,6,98,58,67,82,77,93,64,76,42,94,44,97,4,39,24,40,85,84,30,50,88,86,35,10,70,100,10,24,23,33,97,20,91,64,68,34,22,32,76,64,92,20,60,63,59,50,2,9,34,100,26,88,85,27,98,54,26,74,44,49,6,41,36,63,71,70,63,59,68,39,23,26,59,49,89,84,66,57,93,100,22,18,87,6,11,50,27,38,90,71,53,96,78,89,24,14,25,88,74,93,26,63,18,51,78,73,0,43,30,93,42,52,78,95,25,89,10,52,26,100,89,80,61,33,34,52,47,59,39,20,18,31,83,36,48,61,76,48,3,72,40,12,90,84,73,14,73,50,32,65,15,88,10,43,20,11,95,67,70,100,88,54,30,36,57,78,63,32,25,33,3,31,11,93,15,84,74,54,100,5,85,82,93,96,24,12,73,18,46,8,84,100,63,13,35,19,57,99,51,48,31,20,79,42,79,60,92,52,13,58,58,65,39,16,26,63,96,99,47,41,6,30,40,69,9,41,54,66,39,4,13,36,91,58,44,70,18,36,21,98,94,45,62,32,28,88,61,23,86,7
30,59,3,36,27,12,77,82,44,83,52,23,18,9,81,63,79,65,65,66,29,24,78,91,56,5,45,16,28,97,90,24,21,93,60,49,71,36,97,14,85,14,3,3,90,50,32,34,15,97,0,44,87,78,0,42,49,11,24,43,75,80,67,96,38,26,10,8,28,73,89,13,54,92,83,43,41,81,78,22,43,44,32,29,88,100,37,36,10,61,79,51,6,11,47,44,37,23,52,31,97,6,10,16,98,93,59,4,39,2,27,82,12,59,10,100,24,47,1,35,74,46,52,80,57,65,90,94,89,7,92,51,13,1,67,77,61,92,82,100,61,75,82,73,100,58,73,24,5,40,25,79,87,77,25,43,42,14,3,97,22,95,13,1,62,46,79,89,37,26,89,98,0,36,71,100,94,9,90,65,15,14,10,1,92,35,11,100,15,14,62,3,75,41,72,36,87,50,25,23,42,80,88,8,82,24,7,75,100,64,6,14,78,16,83,35,51,94,0,32,7,28,36,48,69,74,84,55,23,75,45,31,20,32,39,1,22,12,43,88,76,49,1,54,65,50,55,82,43,56,80,16,84,82,64,19
55,48,74,44,89,18,75,76,16,13,43,4,26,52,92,1,0,60,21,31,9,43,79,53,65,25,69,48,6,33,67,62,47,7,5,1,92,47,77,8,60,87,12,52,38,71,20,5,30,7,2,39,50,82,58,14,6,94,29,79,26,62,40,39,69,12,6,61,59,50,35,85,36,13,37,74,84,57,45,13,64,48,19,81,96,43,95,1,36,23,46,28,52,87,67,20,65,74,47,90,23,82,74,25,96,77,65,79,100,10,59,30,58,44,10,53,87,4,20,90,95,66,17,46,18,51,32,49,24,80,38,13,27,12,38,22,55,2,68,55,12,93,85,36,2,95,89,55,65,75,44,25,41,62,37,25,12,70,75,2,15,12,15,42,91,19,31,46,88,99,0,67,57,85,2,59,45,58,13,9,32,58,1,73,86,38,99,98,74,73,66,55,51,47,98,42,32,28,54,19,93,54,86,49,4,55,7,49,12,87,24,44,44,25,84,29,64,48,93,3,87,24,59,37,71,22,45,2,50,99,89,8,18,74,23,22,95,97,37,6,83,62,17,94,53,0,89,83,14,82,87,0,72,45,37,43
67,49,11,83,47,100,57,66,74,80,54,34,76,58,41,24,19,24,17,38,91,6,21,4,54,7,4,25,18,7,34,85,56,46,33,70,45,90,1,85,35,21,19,77,79,26,0,64,50,18,2,40,91,23,44,44,97,14,35,14,88,70,65,44,15,64,80,26,53,81,11,88,68,30,64,47,56,30,10,72,14,79,11,4,68,21,14,64,1,16,44,89,86,75,99,67,38,78,93,57,24,3,10,93,100,40,5,55,71,15,26,85,61,3,56,28,91,70,59,92,86,69,81,37,10,45,70,48,23,63,72,13,32,82,72,32,89,77,53,59,59,46,9,19,15,65,13,6,1,72,64,53,7,10,57,17,56,26,31,45,55,2,58,88,51,30,86,39,73,4,64,31,16,73,50,99,4,64,4,72,1,34,24,8,45,47,25,67,74,57,11,28,25,35,82,42,31,33,81,4,4,10,35,87,50,52,85,54,82,55,92,49,90,82,58,0,29,49,67,2,72,78,97,64,79,45,5,10,44,53,14,48,63,15,35,12,33,19,32,81,75,23,30,30,72,54,30,0,2,97,69,41,40,31,71,18
76,76,28,87,28,8,34,92,91,35,70,23,21,69,4,62,92,34,58,63,88,88,29,56,50,98,63,56,96,33,74,37,9,69,23,3,43,24,61,33,25,98,57,46,66,27,74,57,61,31,87,14,85,82,36,0,46,100,56,41,99,97,78,74,65,68,78,7,92,4,7,16,1,64,29,67,91,69,91,17,0,43,98,51,24,33,52,70,99,7,77,98,3,55,71,34,22,14,8,80,19,15,62,20,45,91,54,1,60,44,85,26,87,82,43,77,14,95,47,13,69,23,10,38,44,47,73,32,62,81,78,47,62,40,67,73,30,20,74,56,30,58,48,83,39,92,60,19,52,73,99,87,62,75,25,6,22,98,4,50,44,83,97,72,22,29,44,18,16,84,41,46,41,89,29,46,46,55,31,65,27,30,51,89,4,76,61,93,39,66,42,49,14,4,20,36,34,64,20,50,47,61,62,54,16,91,66,28,45,98,93,72,94,10,27,98,86,88,57,92,53,65,40,67,70,61,69,3,91,56,19,4,83,81,58,99,38,24,94,49,88,86,21,81,62,14,44,14,1,67,5,55,32,45,88,1
72,23,71,29,45,90,33,27,36,91,93,74,81,86,23,34,37,10,14,100,24,25,13,25,92,85,46,23,96,34,91,68,23,27,63,68,16,96,61,53,52,53,93,100,4,15,33,42,25,14,7,49,39,20,41,97,4,87,87,66,87,77,100,9,4,62,43,87,57,4,5,76,23,99,75,28,80,74,70,5,88,77,20,93,63,61,90,33,48,42,99,0,18,99,10,89,60,19,42,84,90,13,25,13,11,100,41,58,39,77,63,27,19,49,86,48,77,41,81,91,83,45,91,68,9,0,56,70,87,64,19,76,78,44,89,55,9,96,12,48,38,41,41,57,91,94,71,67,34,51,57,17,63,13,85,72,14,6,7,67,71,26,42,14,36,98,69,11,59,82,26,98,22,67,20,79,26,92,11,61,8,34,44,37,48,95,9,28,0,16,95,37,9,2,51,45,66,20,23,25,68,49,89,56,82,75,1,8,66,12,69,41,13,79,78,61,73,87,55,39,70,49,77,79,17,94,90,84,80,79,75,47,27,63,70,9,37,71,84,70,49,18,77,62,97,54,22,69,7,77,7,43,92,50,88,9
44,43,59,90,22,33,3,49,62,73,24,99,9,7,34,58,25,10,87,21,31,8,56,38,52,30,81,9,46,34,85,56,77,9,46,99,42,49,14,3,88,38,69,97,12,2,20,3,13,6,92,44,82,47,48,100,43,95,75,90,28,60,45,71,69,57,70,78,5,50,47,59,54,15,55,66,18,42,70,98,48,27,7,96,74,21,95,84,82,70,73,9,96,84,46,64,41,15,7,12,65,55,72,86,70,93,51,54,34,87,17,49,13,91,44,54,11,39,37,93,75,76,68,70,25,14,100,66,96,7,79,27,62,16,12,98,8,29,18,9,83,35,58,62,26,1,15,3,6,18,97,81,60,30,50,86,10,16,51,73,23,96,100,51,78,78,14,87,73,32,96,55,68,19,17,60,87,99,63,94,17,25,74,43,22,91,28,32,73,46,4,96,41,70,12,19,13,26,72,87,59,33,7,93,18,91,52,4,90,81,98,73,6,38,15,28,95,10,26,67,56,98,28,97,67,40,82,47,66,19,100,91,18,73,83,36,64,0,41,19,82,4,58,54,42,39,82,36,49,74,69,4,71,97,68,4
36,15,51,69,35,16,25,19,89,75,56,18,75,97,3,22,0,61,76,9,67,23,11,15,98,81,87,68,77,54,72,80,35,89,14,36,71,39,56,60,13,11,44,55,74,48,77,40,75,53,49,41,42,61,23,39,7,9,74,50,29,45,29,30,0,9,67,71,49,22,97,62,33,41,83,6,55,60,12,96,79,62,37,20,89,26,60,96,1,33,45,30,44,41,60,10,50,93,48,65,14,44,27,47,51,76,19,72,35,32,68,13,60,71,34,48,97,60,9,98,59,20,94,69,61,19,46,78,12,94,42,26,3,35,40,21,11,25,93,46,57,26,26,83,97,26,30,59,52,39,56,10,26,15,45,87,35,91,64,13,84,73,39,54,7,45,75,18,71,33,31,94,60,23,77,22,49,73,82,0,79,3,77,4,19,21,57,54,79,88,67,28,60,72,82,33,84,56,18,54,56,49,13,82,38,56,3,87,96,51,53,40,55,29,44,74,16,67,94,95,54,60,23,80,98,71,13,81,94,31,0,49,46,81,30,50,2,100,36,98,51,55,37,5,84,47,79,66,14,72,27,34,98,16,14,61
87,94,8,80,91,8,28,2,55,24,52,58,24,54,55,75,8,59,80,92,5,24,23,19,62,50,54,25,66,34,86,53,27,60,99,84,69,27,86,90,17,37,47,41,91,69,15,65,27,61,56,32,51,45,18,79,96,38,3,27,72,56,46,65,15,45,14,50,38,100,40,55,2,53,97,59,21,78,23,48,5,45,47,22,90,65,1,85,2,4,79,40,26,24,71,8,69,85,58,6,84,64,28,52,17,91,10,4,34,33,53,39,78,66,62,33,30,29,85,32,100,63,38,26,87,8,34,22,93,58,28,42,89,22,94,72,12,3,76,47,2,95,86,46,60,13,79,90,42,63,88,8,92,25,34,79,100,34,0,92,58,95,100,46,17,93,17,29,62,60,76,64,54,28,9,81,7,55,70,16,17,24,24,9,15,24,54,82,58,54,39,82,14,39,28,31,31,11,27,94,71,69,23,25,97,100,5,71,54,41,87,37,31,10,46,13,0,66,95,24,86,33,5,0,72,33,98,70,11,24,29,82,94,18,73,56,17,44,26,71,52,12,8,83,89,20,62,89,87,56,12,72,90,85,72,27
