16,21,82,43,19,44,24,5,9,50,33,34,64,19,51,91
10,47,69,60,44,73,28,75,4,74,88,95,85,28,31,0
49,79,9,34,90,33,39,99,49,38,99,12,24,50,2,34
63,38,94,73,10,88,47,82,28,34,76,12,28,6,13,43
52,89,77,41,22,83,5,37,20,3,50,44,19,18,78,82
56,37,54,33,92,1,14,19,1,90,98,30,63,77,73,14
66,16,55,88,99,60,91,85,29,40,29,49,25,73,97,47
77,17,80,68,18,60,53,86,50,50,82,79,27,21,93,93
37,13,46,1,39,36,86,68,43,81,83,34,20,46,81,97
63,27,30,47,53,83,32,2,99,81,81,92,1,39,84,4
18,96,5,57,99,91,92,7,38,40,41,58,86,88,20,48
81,16,95,34,65,94,2,63,74,50,55,41,89,4,45,7
67,50,30,65,6,21,38,10,62,79,34,47,32,54,96,80
36,56,13,0,49,15,30,89,65,85,29,20,55,74,27,21
90,23,52,63,45,90,73,6,34,7,19,33,27,81,12,30
37,25,30,86,6,60,41,38,10,70,58,32,10,51,53,100
