46,42,75,12,0,41,31,15,20,57,47,11,86,35,36,70,22,88,27,37,6,71,55,98,61,52,86,65,11,35,62,57,43,37,35,10,78,67,25,64,90,39,75,75,40,11,44,63,65,72,66,71,42,87,34,69,38,19,0,49,21,62,73,30,99,74,40,42,40,32,6,29,71,47,4,10,24,14,39,89,86,4,26,94,91,60,29,95,80,29,10,67,91,83,97,56,22,37,98,63,35,70,58,5,84,28,82,7,43,21,97,95,92,22,55,49,48,84,43,94,12,53,60,2,1,57,24,24
60,89,53,95,58,10,66,7,5,47,15,14,34,78,8,26,66,63,75,13,12,84,7,24,3,67,94,71,90,17,95,15,5,13,76,30,91,41,37,96,89,18,76,89,96,84,14,27,13,55,41,25,39,14,16,42,47,9,79,37,93,40,52,65,53,28,95,9,35,98,4,90,83,46,79,44,30,59,72,9,14,79,0,19,93,83,27,39,92,5,42,51,45,95,15,99,89,76,7,90,39,79,80,21,24,58,66,20,16,3,96,97,82,63,15,74,45,42,79,3,48,21,54,59,82,69,23,70
10,31,59,49,76,4,37,66,62,69,53,45,72,14,41,53,77,57,93,89,99,71,92,12,92,45,72,73,80,95,8,56,92,34,4,33,38,7,66,67,76,85,11,13,99,52,66,42,8,24,30,74,96,21,52,53,32,90,93,11,85,67,67,42,0,37,42,5,11,74,72,87,58,83,67,22,0,32,30,9,23,60,49,85,47,0,37,79,91,96,56,41,63,89,49,29,26,91,34,3,30,72,90,88,20,56,77,21,55,6,97,44,33,45,28,46,11,31,25,68,27,47,8,90,36,58,85,28
14,19,31,45,57,87,99,78,9,41,99,30,14,95,74,47,5,1,93,16,99,84,85,25,31,59,81,33,83,66,27,64,51,24,75,7,10,39,85,86,81,49,15,95,9,55,41,14,56,100,98,21,84,48,46,81,73,94,80,56,59,6,19,76,30,94,49,6,99,34,93,79,83,74,39,59,29,46,73,51,46,36,72,96,84,18,42,57,11,21,79,36,94,64,78,23,23,26,96,21,26,88,0,76,62,39,34,91,86,6,41,98,9,13,93,93,98,34,15,75,21,60,77,14,23,54,3,46
80,99,34,6,87,34,82,14,39,82,4,91,88,11,88,97,91,46,56,88,46,37,62,67,98,38,47,87,58,50,100,4,15,33,77,68,33,24,82,72,5,52,29,93,63,83,56,20,29,78,7,41,14,36,75,78,40,21,65,99,38,30,2,53,63,79,20,62,2,68,33,7,19,28,66,48,11,88,68,40,65,42,47,80,78,21,23,17,43,54,82,47,84,50,100,12,28,86,74,97,53,74,70,38,1,36,86,12,23,54,18,89,62,66,34,39,87,57,22,96,11,4,8,61,54,74,74,49
59,47,45,78,87,82,15,89,17,68,67,6,88,52,61,49,84,61,88,36,85,9,99,62,80,6,22,0,81,62,49,39,9,60,84,62,41,65,50,24,32,84,98,19,35,58,34,18,86,21,20,70,98,18,31,43,25,19,43,5,82,92,10,57,52,94,18,59,25,35,84,57,18,81,43,53,4,77,37,90,65,57,25,28,76,22,71,0,42,81,72,23,38,82,46,56,42,64,15,67,99,99,23,83,45,32,1,49,9,38,5,40,62,97,34,3,19,71,70,61,51,41,50,90,89,96,11,30
25,26,97,91,91,87,73,35,18,75,51,94,79,22,33,40,18,67,9,37,4,79,64,55,86,80,10,75,41,22,4,67,48,1,57,5,88,29,40,5,70,57,66,49,45,65,55,64,32,65,67,2,43,98,57,96,77,34,70,18,56,74,51,70,41,7,75,28,2,82,0,73,4,32,88,50,97,42,80,95,6,46,97,16,9,54,11,53,88,81,37,9,20,88,45,62,61,20,56,29,68,22,68,72,20,55,88,17,98,67,11,70,80,8,52,55,28,63,7,82,9,44,91,97,98,1,24,58
88,46,54,55,35,21,94,55,43,47,72,6,14,84,76,60,58,28,14,52,57,89,33,67,32,90,29,97,91,53,54,79,99,74,100,33,96,93,89,4,40,26,10,20,76,86,80,33,80,60,85,37,48,84,70,47,73,99,43,30,17,63,75,15,37,74,15,99,33,3,2,73,96,12,59,72,64,4,71,10,64,22,13,79,5,49,25,45,13,68,75,30,30,49,11,33,89,26,31,21,96,100,60,92,11,18,63,42,22,100,52,53,21,65,31,94,80,56,38,93,90,79,22,86,94,33,19,82
60,16,70,55,16,29,12,94,48,41,35,36,41,53,89,28,84,19,21,63,41,59,55,97,3,77,83,97,77,68,45,2,84,14,57,66,43,36,60,57,77,61,94,84,14,82,12,64,68,33,27,75,59,48,72,28,25,20,92,68,88,2,70,37,16,93,3,25,28,63,83,72,90,42,21,3,90,33,68,57,33,61,99,58,8,36,52,100,56,43,67,9,45,2,12,27,96,15,53,90,44,1,61,34,43,49,3,32,48,37,56,47,98,54,4,73,56,57,72,11,66,5,87,11,7,99,38,69
81,57,59,91,24,86,91,67,34,61,66,83,98,88,29,62,7,0,0,63,23,72,40,89,43,93,66,17,57,71,86,3,27,10,95,52,97,51,85,97,11,16,45,76,70,41,37,77,41,37,5,30,75,11,85,85,3,17,68,61,88,53,64,14,30,24,32,26,76,84,89,53,100,34,28,70,75,31,12,82,34,18,11,9,96,62,60,100,79,27,26,32,46,90,47,76,81,45,68,56,28,57,75,95,57,3,64,31,34,42,79,69,26,56,44,22,17,3,88,63,97,13,95,42,69,7,85,49
