54,83,8,40,34,58,42,8,8,26,65,78,66,26,39,32
29,59,38,42,71,69,51,9,37,84,8,79,34,63,78,54
11,52,94,45,9,35,54,18,28,18,62,94,11,1,26,40
26,64,48,97,33,99,6,36,48,81,82,82,44,59,1,55
11,62,0,87,97,20,4,91,4,33,85,15,0,10,21,26
40,35,23,39,0,96,76,48,76,57,97,86,82,98,41,59
25,7,46,89,94,16,79,98,49,63,80,49,39,67,42,80
2,31,18,2,26,60,16,68,16,12,54,65,77,95,23,1
68,69,90,61,52,69,24,0,98,70,16,3,37,58,83,5
89,67,7,81,27,90,48,9,2,1,40,45,62,64,46,29
99,2,56,50,37,81,17,34,50,33,37,53,57,86,58,11
19,31,92,12,21,39,88,90,41,28,34,2,58,46,99,56
48,20,73,85,67,90,86,84,89,89,36,45,41,95,56,60
92,13,72,12,52,25,68,59,53,1,28,77,48,93,33,96
12,72,47,80,27,32,63,15,20,99,26,61,59,48,87,51
61,24,29,79,50,98,38,69,65,32,46,12,24,45,75,36
