103797,104614,100543,84716,88204,106501,76918,72379,108393,78507,91561,74190,87738,96292,84587,85477,100776,79122,92661,82223,108016,98475,101346,83586,93996,79087,86130,95548,111436,88561,86955,82597
86380,94726,84428,90199,69414,89991,81441,77974,92742,71738,82042,69399,84884,89622,80777,73920,93357,76262,73926,81837,95460,94995,91420,83910,93821,69690,89066,89422,97067,84262,82119,83407
81334,80117,79027,79101,67582,82038,59955,69104,88151,72254,79616,71807,80982,69556,67096,63208,75493,62828,67746,63533,84923,86362,74941,75248,69717,57669,62253,80686,84007,85719,74918,70833
92064,89994,94787,84716,74022,92372,73513,79495,96741,75078,90949,74377,85098,88187,81516,69897,88535,74727,78194,85067,109376,96807,99114,90028,91981,70772,81959,90376,101948,93977,81041,80198
85744,85574,85806,78925,64165,85804,60179,71223,101629,64547,82347,70914,77109,72140,72093,78315,83831,66862,67239,70199,87492,89012,80325,70691,82198,68911,70807,85536,88884,83617,73549,81044
98602,102082,101028,87528,86440,100512,74587,87419,104069,77779,90968,86343,89104,95485,77706,73599,96630,74708,79592,82796,107598,109000,92323,92850,90141,76073,87354,103921,107871,96946,94014,100070
91175,91708,95913,65715,71884,89808,64470,66646,93983,69813,92451,70068,77483,69026,77630,74360,91878,68358,79187,76665,106856,83682,81854,70617,78065,72633,73990,90272,91010,79874,72231,67175
91447,102930,95081,79603,76572,93601,64564,63696,92587,77463,90931,74819,91015,77148,69912,69004,87559,71442,85948,66733,95110,88828,88002,80459,84667,56828,68235,88502,103191,91549,82915,67951
67732,79988,80003,62355,55674,70569,57006,57247,81636,58994,66476,63425,68814,66070,61997,57011,74203,64977,66551,61437,76435,73753,70814,61218,73539,56756,69371,71630,89049,76464,75986,64748
83243,89696,80422,86058,65467,88983,65693,76969,92444,76740,79798,66948,74495,76150,72175,77855,84714,71012,75268,65499,88669,87901,88247,71266,78898,64615,70800,83562,92523,83330,79781,73250
91228,88860,87698,81515,80754,102096,65208,80671,102299,85950,88186,80925,93175,86020,82334,88452,91795,73941,88766,57276,88100,95953,87317,71976,76934,72959,77804,91408,89317,96155,90573,91226
93501,93532,105624,80520,90726,113641,69913,77001,102600,87087,90811,80710,87711,88733,96080,90740,94812,85653,99239,70755,105763,92854,99911,81615,67465,77258,83993,90212,104899,102456,84717,91114
86274,93017,84385,87063,66181,84120,73665,66122,99766,73393,83386,61252,79427,82990,78508,69583,81195,70918,69437,71810,95540,90480,83083,70185,79739,66621,80192,96998,94609,78908,79647,78068
86589,78106,73124,69258,70671,85652,54069,66837,83627,61323,72019,67986,79371,75548,63120,56806,78152,54704,65965,63333,87257,86030,71549,64057,69943,67762,65902,84466,80562,74247,72259,73126
89867,81042,84656,82423,63629,88788,67158,71238,97101,73446,82948,69042,78837,79626,77856,69164,77681,70509,67669,79856,90253,91561,81891,71576,83419,61521,73251,83305,90061,83442,74059,74594
67070,64145,77132,52737,48638,70563,52696,54068,65750,59977,70992,60640,67793,60001,61716,54049,63782,58371,62488,49704,72926,62013,60863,51402,51971,53842,56366,64250,69221,71976,63026,59783
91891,92097,97289,81758,76829,94076,74852,67441,105090,72627,88682,77643,94426,80126,92133,82991,95919,77667,84288,78158,100980,89164,84993,76014,81482,73383,82450,95933,96612,89515,83259,81645
90815,88144,90422,79668,73068,95585,64054,74768,88776,68431,84305,76181,82663,91656,77829,71893,88013,73680,72403,68081,93027,93966,92394,77744,80017,74774,72652,83820,99869,98400,82216,90699
86333,78215,85668,73359,72527,89294,62606,78396,94648,68797,84785,70110,78137,80326,70809,65956,79421,55775,72744,57844,96145,92464,86771,68301,72668,70998,71772,90160,86292,83031,77575,82207
88288,96200,88879,87204,76220,95700,71518,78433,92811,85142,89456,77114,85508,85168,86977,73557,90265,81933,84682,73260,96849,89099,90255,79609,78384,72408,84895,87960,101581,95426,86331,77772
95801,96439,90340,76563,74561,95603,53747,78614,100850,86727,93115,84141,82367,76511,73072,78085,87878,70493,86372,70224,104434,90758,82324,64498,76692,75747,81547,95767,98737,99778,76637,77026
97256,103952,94362,87836,83271,100858,73294,76329,112310,85586,88606,83924,102160,93629,91455,83357,91347,74176,82401,74249,102148,98587,96180,83683,87497,82127,88506,99113,97259,99049,90185,92560
99503,101011,99668,87078,81332,103394,68713,73525,93729,67083,99061,70497,84379,86560,85341,83443,101149,78979,92178,80235,108824,95036,98536,75252,87460,75668,83804,95607,99185,85939,74019,91092
96900,90807,92044,83777,81289,107254,73692,88272,99562,86359,94475,78355,84816,99000,83680,84408,98361,73297,95819,72553,107605,106113,98846,71837,90725,76589,98706,98757,102492,89264,87824,89247
104464,108832,100648,99381,81713,105649,74865,87495,113796,90544,96049,86952,90861,93371,91397,89073,102124,90031,85475,86309,106287,106856,95897,89008,94670,78844,91927,100850,109710,106996,95291,92108
87760,93116,94655,75466,78230,102506,67733,73256,95102,83338,83439,78510,89729,82368,90359,85431,92825,78010,89052,63834,100047,92741,92641,77209,69029,67932,76619,92179,94286,95620,79804,81473
66322,74564,72981,67641,57656,76702,58016,57049,83118,60636,67505,58444,64311,66422,73639,73887,72786,59311,59680,66820,74543,74789,68507,56657,71138,61095,74312,73853,75549,66300,64807,76595
109292,102642,102669,95873,88224,110954,79243,89841,104235,81084,103397,88437,100548,98504,91590,86972,108469,89925,96619,83259,111839,102321,101915,85968,89108,86004,90400,105169,111247,101729,94221,100400
89673,90104,82675,84804,73951,95025,63974,75336,102973,68441,79323,71484,82679,79627,86271,81485,91449,75309,74005,72431,96194,88320,94982,68581,76861,75436,77922,89804,94852,85294,76849,81253
87601,95283,88503,76663,72311,90574,67902,66989,94489,78628,89514,74905,88148,82044,76687,81707,90972,82090,80739,64517,90449,79246,84563,70367,72049,71268,75694,85599,99630,91783,85776,78829
104927,103438,101971,85160,79262,104688,72787,78992,110479,88570,98222,84694,92099,88978,90409,90451,96911,85020,91267,77139,98540,98956,98048,80372,91639,74882,80578,95296,103148,93826,90050,86523
89973,94995,90897,69572,71305,89976,68274,64444,97000,73950,87617,71876,84233,82238,73388,77572,87732,62273,74312,70544,98023,89872,79329,70414,84912,76464,77280,95774,90599,75934,80681,79287
