37395,36472,44975,26134,36089,42715,38595,37178,33354,47348,42001,37535,34285,38764,39848,53582
32814,38187,42702,26723,29878,37714,37472,33162,34844,37161,41071,38359,30178,35495,34587,49944
32376,31430,38350,22588,38849,35692,34000,24618,37079,35238,30359,31594,26358,30901,31171,38060
38923,43882,39543,31642,33258,48620,41777,33332,29500,42076,37305,42449,34819,35307,36168,55964
40601,37079,46067,34025,42213,55202,43353,34351,43669,43512,38172,41853,36418,37102,48331,60678
40825,37246,41965,32203,37622,45914,41820,29181,35211,42793,40184,41365,30726,39609,35187,48087
44160,50640,59402,36720,47342,52063,49424,42554,44458,56455,54585,50913,40996,49488,49814,68673
41031,47102,47574,31054,42079,51436,44362,41339,42293,43239,45898,43190,39105,42027,41427,51993
46530,52570,54906,36579,47893,60687,51779,37876,49937,48624,48410,46258,40458,49981,51866,67268
42237,54174,54987,27538,42520,35763,37558,38549,45537,42100,45274,44305,34736,41319,46925,60072
41927,42673,49479,31278,42821,46119,43685,34309,38812,49635,46227,48426,35134,41004,42405,59661
42898,53296,54787,32006,47009,48819,44636,38522,46972,46178,46360,46229,41880,45192,46609,62430
43693,49742,59199,38878,43850,59436,51548,44184,53637,47300,51599,52528,40433,44268,50885,66921
36029,39862,41100,33639,34527,43904,39374,34788,32619,40754,36118,43155,30898,37493,38734,58142
39796,46916,50558,34003,45980,46950,42183,36639,49286,43708,43444,45568,36549,46326,47049,58610
40116,44985,45882,36226,44167,53554,45999,40223,45045,46057,43626,46175,35632,45874,45829,57995
